id,year,Forestry GDP（million yuan）,Forestry Industry Seniorization Index ,Forestry industry pollution control （million yuan）,Increase in ecological forests（hectarea）,"Forest stock（10,000 cubic meters）",Forestry industrial waste discharges（million yuan）,,,,,
1,2008 ,116052 ,0.16 ,868.34 ,15548,840.70 ,105.49 ,,1,Beijing,,
2,2008 ,19114 ,0.08 ,506.15 ,11216,140.35 ,65.99 ,,2,Tianjin,,
3,2008 ,615064 ,0.02 ,7814.34 ,345782,6509.92 ,5362.70 ,,3,Hebei,,
4,2008 ,117287 ,0.02 ,7814.34 ,280378,6199.93 ,973.10 ,,4,Shanxi,,
5,2008 ,179576 ,0.08 ,5071.11 ,718562,110153.15 ,924.94 ,,5,Inner Mongolia,,
6,2008 ,6987416 ,0.01 ,10466.67 ,81532,17476.57 ,5143.29 ,,6,Liaoning,,
7,2008 ,6431830 ,0.04 ,9397.85 ,26114,81645.51 ,4188.23 ,,7,Jilin,,
8,2008 ,5803188 ,0.05 ,6639.73 ,120609,137502.31 ,3036.04 ,,8,Heilongjiang,,
9,2008 ,610464 ,0.18 ,463.04 ,1915,33.24 ,197.21 ,,9,Shanghai,,
10,2008 ,1136466 ,0.01 ,1787.85,88655,2285.27 ,1004.33 ,,10,Jiangsu,,
11,2008 ,13678175 ,0.04 ,9421.85 ,8524,11535.85 ,4321.95 ,,11,chekiang,,
12,2008 ,5135559 ,0.05 ,6674.88 ,33463,10371.90 ,4321.95 ,,12,Anhui,,
13,2008 ,14727221 ,0.03 ,21194.98 ,33059,44357.36 ,19789.43 ,,13,Fujian,,
14,2008 ,9184321 ,0.04 ,7180.55 ,267032,32505.20 ,10908.36 ,,14,Jiangxi,,
15,2008 ,9906004 ,0.03 ,26912.42 ,185575,3201.65 ,6062.77 ,,15,Shandong,,
16,2008 ,6464626 ,0.08 ,8643.13 ,338139,8404.64 ,5018.89 ,,16,Henan,,
17,2008 ,5963486 ,0.03 ,8497.71 ,154470,15406.64 ,5200.01 ,,17,Hubei,,
18,2008 ,9211497 ,0.06 ,11881.54 ,80004,26534.46 ,8009.95 ,,18,Hunan,,
19,2008 ,2200116 ,0.12 ,24855.52 ,9387,28365.63 ,13455.01 ,,19,Guangdong,,
20,2008 ,8817723,0.18 ,18412.44 ,129054,36477.26 ,25981.83 ,,20,Guangxi,,
21,2008 ,2359956,0.05 ,610.35 ,17292,7195.16 ,1005.10 ,,21,Hainan,,
22,2008 ,2117564,0.01 ,4046.62 ,106576,8441.08 ,2884.52 ,,22,Chongqing,,
23,2008 ,9533984,0.05 ,14774.71 ,574605,149543.36 ,9000.91 ,,23,Sichuan,,
24,2008 ,2475936,0.06 ,7578.37 ,177878,17795.72 ,1310.28 ,,24,Guizhou,,
25,2008 ,4598691,0.04 ,8283.71 ,566135,139929.16 ,3311.91 ,,25,Yunnan,,
26,2008 ,128798,0.10 ,0.00 ,31334,226606.41 ,30.27 ,,26,Tibet,,
27,2008 ,1977672,0.04 ,3076.55 ,275245,30775.77 ,1579.40 ,,27,Shaanxi,,
28,2008 ,1178477,0.00 ,4394.50 ,167972,17504.33 ,729.57 ,,28,Gansu,,
29,2008 ,59043,0.01 ,68.56 ,53597,3592.62 ,51.95 ,,29,Qinghai,,
30,2008 ,610314,0.09 ,5035.31 ,103423,392.85 ,1202.10 ,,30,Ningxia,,
31,2008 ,2526910,0.06 ,5342.96 ,270660,28039.68 ,1527.17 ,,31,Xinjiang,,
1,2009,1200400,0.17 ,339.99 ,17566,886.32 ,98.42 ,,,,,
2,2009,215642,0.04 ,516.19 ,15654,153.13 ,60.15 ,,,,,
3,2009,6937260,0.03 ,5323.93 ,306373,6932.92 ,5321.59 ,,,,,
4,2009,1898999,0.10 ,5323.93 ,326602,6533.04 ,1410.40 ,,,,,
5,2009,2022097,0.09 ,3700.67 ,861933,111998.12 ,848.96 ,,,,,
6,2009,9384692,0.02 ,12126.05 ,129974,18126.93 ,5708.53 ,,,,,
7,2009,7630018,0.05 ,8307.98 ,30228,82328.58 ,4357.44 ,,,,,
8,2009,6933726,0.04 ,8019.61 ,213124,141015.98 ,3193.28 ,,,,,
9,2009,3369645,0.45 ,1530.85 ,2051,43.88 ,973.62 ,,,,,
10,2009,15598797,0.13 ,12247.96 ,83713,2542.58 ,11966.45 ,,,,,
11,2009,17137667,0.04 ,14429.56 ,27422,12751.62 ,5830.72 ,,,,,
12,2009,7154214,0.14 ,7698.36 ,68952,11130.43 ,5830.72 ,,,,,
13,2009,16731501,0.05 ,17596.58 ,33261,45343.70 ,20395.05 ,,,,,
14,2009,10529719,0.09 ,5438.74 ,228630,34134.64 ,10478.56 ,,,,,
15,2009,18201442,0.17 ,27698.57 ,182171,3797.76 ,10578.26 ,,,,,
16,2009,7590423,0.14 ,6009.93 ,416131,9361.39 ,5895.49 ,,,,,
17,2009,7069354,0.07 ,15344.65 ,149174,16635.58 ,5289.27 ,,,,,
18,2009,11503145,0.07 ,11785.81 ,125031,28417.43 ,8952.45 ,,,,,
19,2009,28021579,0.15 ,16143.58 ,19952,28809.54 ,13748.80 ,,,,,
